,theta1.mu,theta2.mu,pind.a,pind.b,pr.0pathoge,pr.1pathoge,pr.2pathoge,pr.3pathoge,pr.4pathoge,pr.5pathoge,MAE.mu,MAE.cellprob
34,-1,-2,10,10,0.1177,0.3807,0.3612,0.124,0.0156,7.00E-04,0.0378,0.0148
40,-0.5,-4,9,6,0.0861,0.4652,0.3761,0.069,0.0037,0,0.0415,0.0157
17,-0.5,-4,10,30,0.0705,0.3144,0.3983,0.1835,0.0317,0.0016,0.0461,0.0149
16,-0.5,-4,10,10,0.0805,0.4179,0.396,0.0976,0.0078,2.00E-04,0.0483,0.0142
8,-0.5,-1,20,20,0.058,0.2448,0.3722,0.248,0.0702,0.0067,0.0501,0.0133
23,-0.75,-0.5,15,5,0.0626,0.2171,0.3434,0.2685,0.0954,0.013,0.0531,0.0128
30,-0.75,-4,5,15,0.0907,0.3506,0.3789,0.1531,0.0253,0.0015,0.055,0.0126
36,-1,-2,5,15,0.1118,0.3383,0.3569,0.1595,0.0313,0.0021,0.0573,0.0125
33,-1,-0.5,5,15,0.0977,0.2799,0.3365,0.2109,0.0665,0.0084,0.0581,0.0146
22,-0.75,-0.5,10,10,0.0678,0.23,0.342,0.2531,0.0938,0.0133,0.0648,0.015
37,-1,-4,10,10,0.1316,0.4749,0.328,0.0619,0.0036,1.00E-04,0.0653,0.0146
15,-0.5,-2,5,15,0.0647,0.2702,0.3771,0.2247,0.058,0.0053,0.0674,0.0155
28,-0.75,-4,10,10,0.104,0.4457,0.3654,0.0795,0.0053,1.00E-04,0.0675,0.016
27,-0.75,-2,5,15,0.0861,0.3069,0.3722,0.1904,0.0412,0.0032,0.0714,0.0201
35,-1,-2,15,5,0.1198,0.4224,0.3586,0.0913,0.0076,2.00E-04,0.0714,0.0171
10,-0.5,-2,10,10,0.0698,0.3179,0.4025,0.179,0.0294,0.0014,0.0756,0.0188
39,-1,-4,5,15,0.1209,0.383,0.3533,0.1244,0.0176,8.00E-04,0.0777,0.0221
26,-0.75,-2,15,5,0.0958,0.3959,0.3856,0.1123,0.0102,3.00E-04,0.078,0.025
25,-0.75,-2,10,10,0.0896,0.3486,0.3838,0.1538,0.0231,0.0011,0.0788,0.0193
12,-0.5,-2,15,5,0.0734,0.3704,0.4126,0.1308,0.0126,2.00E-04,0.079,0.0171
38,-1,-4,15,5,0.1448,0.5699,0.263,0.0219,4.00E-04,0,0.0807,0.0195
18,-0.5,-4,15,5,0.093,0.5364,0.3351,0.0347,8.00E-04,0,0.0818,0.0174
19,-0.5,-4,20,20,0.0822,0.4191,0.3961,0.0963,0.0063,1.00E-04,0.0886,0.0236
29,-0.75,-4,15,5,0.1194,0.5577,0.2946,0.0275,7.00E-04,0,0.0904,0.022
2,-0.5,-0.5,10,30,0.055,0.2125,0.3378,0.2694,0.1084,0.0169,0.0911,0.0245
9,-0.5,-1,30,10,0.058,0.2534,0.3887,0.2371,0.0581,0.0047,0.0912,0.0273
5,-0.5,-0.5,30,10,0.0464,0.1894,0.3413,0.2926,0.1144,0.0159,0.0929,0.0227
14,-0.5,-2,30,10,0.0761,0.3691,0.4126,0.1294,0.0125,3.00E-04,0.0933,0.0217
3,-0.5,-0.5,15,5,0.0479,0.1903,0.3433,0.2908,0.112,0.0157,0.0936,0.0303
32,-1,-0.5,15,5,0.0831,0.2418,0.3444,0.2406,0.08,0.0101,0.0954,0.0186
4,-0.5,-0.5,20,20,0.0509,0.2009,0.3383,0.28,0.1131,0.0168,0.0976,0.0277
13,-0.5,-2,20,20,0.0702,0.3174,0.405,0.1783,0.0277,0.0014,0.1026,0.0224
20,-0.5,-4,30,10,0.0933,0.5372,0.3345,0.0343,8.00E-04,0,0.1027,0.021
1,-0.5,-0.5,10,10,0.0502,0.2008,0.3403,0.2813,0.111,0.0164,0.1081,0.0247
31,-1,-0.5,10,10,0.0903,0.2626,0.3394,0.2249,0.0737,0.009,0.1083,0.0253
41,-0.5,-5,15,10,0.0895,0.4984,0.3577,0.0523,0.0021,0,0.1083,0.0277
7,-0.5,-1,10,30,0.0594,0.2358,0.3562,0.2535,0.0846,0.0105,0.1094,0.0257
6,-0.5,-0.5,5,15,0.0549,0.2132,0.3386,0.2695,0.1065,0.0172,0.1116,0.0271
24,-0.75,-0.5,5,15,0.0742,0.2471,0.3423,0.2401,0.0845,0.0118,0.117,0.0203
11,-0.5,-2,10,30,0.065,0.2735,0.3798,0.2208,0.0557,0.0051,0.1245,0.0223
21,-0.5,-4,5,15,0.0702,0.316,0.3949,0.1834,0.0333,0.0022,0.1368,0.0344
